"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"165","Coco & Cru","643 Broadway, New York, NY 10012, USA","cocoandcru.com","P2G3+MH New York, USA","4.4","(285)","https://www.google.com/maps/place/Coco+%26+Cru/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c2598fe631f529:0x7069ad3e71d40f62!8m2!3d40.7267439!4d-73.9960246?hl=en",
"164","Frankies 457 Spuntino","457 Court St, Brooklyn, NY 11231, USA","frankiesspuntino.com","M2G2+XP Brooklyn, New York, USA","4.6","(573)","https://www.google.com/maps/place/Frankies+457+Spuntino/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c25af631afbb9b:0x66cd2d2a44171d35!8m2!3d40.6773994!4d-73.9981529?hl=en",
"163","","","","","","","https://www.google.com/maps/place/Estela,+47+E+Houston+St,+New+York,+NY+10012,+USA/@40.7418161,-74.0930698,10z/data=!4m5!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m1!1s0x89c259857ffe777f:0x1419ce2472841070?hl=en",
"162","The Boil","17 Waverly Pl, New York, NY 10003, USA","theboilny.com","P2J4+47 New York, USA","4.5","(1,127)","https://www.google.com/maps/place/The+Boil/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c2599a711f782d:0xfee4276c3b5e4edf!8m2!3d40.730306!4d-73.9942945?hl=en",
"161","The Boil","139 Chrystie St, New York, NY 10002, USA","theboilny.com","P294+VP New York, USA","4.4","(1,175)","https://www.google.com/maps/place/The+Boil/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c259864a48735d:0xf0e16bc0096c8569!8m2!3d40.7197094!4d-73.993229?hl=en",
"160","Uncle Boons","7 Spring St, New York, NY 10012, USA","uncleboons.com","P2C4+G7 New York, USA","4.6","(790)","https://www.google.com/maps/place/Uncle+Boons/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c259861c05d8e5:0xd5652f97f2376594!8m2!3d40.7213514!4d-73.9943585?hl=en",
"159","Bessou","5 Bleecker St, New York, NY 10012, USA","bessou.nyc","P2G4+6W New York, USA","4.5","(139)","https://www.google.com/maps/place/Bessou/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c2598517c75725:0x3e93fdcb86ed11e3!8m2!3d40.72551!4d-73.9926697?hl=en",
"158","Dig Inn","The Rye Ridge Shopping Center, 112 S Ridge St, Rye Brook, NY 10573, USA","diginn.com","2838+7P Rye Brook, Rye, NY, USA","4.7","(116)","https://www.google.com/maps/place/Dig+Inn/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c2973c03bdb6e1:0xdb76d386d805b5ef!8m2!3d41.0031619!4d-73.6831709?hl=en",
"157","Senza Gluten","206 Sullivan St, New York, NY 10012, USA","senzaglutennyc.com","PXHX+JV New York, USA","4.5","(476)","https://www.google.com/maps/place/Senza+Gluten/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c25991f36073d3:0xf0157af58ce77e02!8m2!3d40.7291136!4d-74.0003374?hl=en",
"156","Tony's Di Napoli","147 W 43rd St, New York, NY 10036, USA","tonysnyc.com","Q247+JR New York, USA","4.5","(2,706)","https://www.google.com/maps/place/Tony's+Di+Napoli/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c2585523aa2d55:0x831dafc2627c8d16!8m2!3d40.7565018!4d-73.9854018?hl=en",
