"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"38","Reformation","39 Bond St, New York, NY 10012, USA","thereformation.com","P2G4+CJ New York, USA","4.1","(33)","https://www.google.com/maps/place/Reformation/@40.8754439,-74.0112165,11z/data=!4m9!1m3!2m2!1sstores+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c2598547356833:0xb664b44771f72dcc!8m2!3d40.7260013!4d-73.9933826?hl=en",
"37","Away","10 Bond St, New York, NY 10012, USA","awaytravel.com","P2G4+R9 New York, USA","4.3","(149)","https://www.google.com/maps/place/Away/@40.8754439,-74.0112165,11z/data=!4m9!1m3!2m2!1sstores+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c2598f884f305d:0x102620890dfb5fbc!8m2!3d40.7270847!4d-73.9940175?hl=en",
"36","Saks OFF 5TH","125 E 57th St, New York, NY 10022, USA","locations.saksoff5th.com","Q26J+G4 New York, USA","3.8","(558)","https://www.google.com/maps/place/Saks+OFF+5TH/@40.8754439,-74.0112165,11z/data=!4m9!1m3!2m2!1sstores+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c258e53d551b15:0x7c8f718bca40ec92!8m2!3d40.7613395!4d-73.9696821?hl=en",
"35","Ulta Beauty","188 East 86th St, New York, NY 10028, USA","ulta.com","Q2HW+G6 New York, USA","4.3","(681)","https://www.google.com/maps/place/Ulta+Beauty/@40.8754439,-74.0112165,11z/data=!4m9!1m3!2m2!1sstores+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c258bc8ff00767:0x140caa9d06b3c18d!8m2!3d40.7787776!4d-73.9543943?hl=en",
"34","Emporio Armani Uomo Hackensack Bloomingdale's","Bloomingdale's, 400 Hackensack Ave, Hackensack, NJ 07601, USA","armani.com","WX68+8P Hackensack, New Jersey, USA","","","https://www.google.com/maps/place/Emporio+Armani+Uomo+Hackensack+Bloomingdale's/@40.8754439,-74.0112165,11z/data=!4m9!1m3!2m2!1sstores+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c2fb6ce6b8b763:0x4634f7c3d7a09e28!8m2!3d40.910774!4d-74.033155?hl=en",
"33","Fairway Market 86th Street","240 East 86th St, New York, NY 10028, USA","fairwaymarket.com","Q2HW+6W New York, USA","4.2","(1,346)","https://www.google.com/maps/place/Fairway+Market+86th+Street/@40.8754439,-74.0112165,11z/data=!4m9!1m3!2m2!1sstores+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c25889954abe43:0x4d8b83c1e7b0be37!8m2!3d40.7780058!4d-73.9527497?hl=en",
"32","Barnes & Noble","555 5th Ave, New York, NY 10017, USA","stores.barnesandnoble.com","Q24C+7F New York, USA","4.5","(4,538)","https://www.google.com/maps/place/Barnes+%26+Noble/@40.8754439,-74.0112165,11z/data=!4m9!1m3!2m2!1sstores+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c258fe47c5cc17:0x5eb8d533d94f78ff!8m2!3d40.7556907!4d-73.9788528?hl=en",
"31","Janovic Paint & Decorating Center","888 Lexington Ave, New York, NY 10065, USA","janovic.com","Q28M+JW New York, USA","4.8","(47)","https://www.google.com/maps/place/Janovic+Paint+%26+Decorating+Center/@40.8754439,-74.0112165,11z/data=!4m9!1m3!2m2!1sstores+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c258e94cc36d51:0xbb457de7d322c6b2!8m2!3d40.7665767!4d-73.9652455?hl=en",
"30","Bond No. 9","897 Madison Ave, New York, NY 10021, USA","bondno9.com","Q2CM+QX New York, USA","4.2","(20)","https://www.google.com/maps/place/Bond+No.+9/@40.8754439,-74.0112165,11z/data=!4m9!1m3!2m2!1sstores+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c258eb56727771:0xd9e963ec80601ad6!8m2!3d40.771949!4d-73.9651?hl=en",
"29","Janovic Paint & Decorating Center","215 7th Ave, New York, NY 10011, USA","janovic.com","P2V3+CP New York, USA","4.4","(75)","https://www.google.com/maps/place/Janovic+Paint+%26+Decorating+Center/@40.8754439,-74.0112165,11z/data=!4m9!1m3!2m2!1sstores+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c259bb395c661b:0xd25ddf680f046383!8m2!3d40.743592!4d-73.995717?hl=en",
